RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-002-04-A01,PKG-002,DEL-002-04,Structural Sections & Details,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0012,Complete final structural design — concrete structure 35 ft ceiling,,Structural Sections & Details implements SOW-0012 (Complete final structural design),Datasheet.md,Identification > Scope of Work Reference,SOW-0012,EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: SOW-0012 confirmed in decomposition §3 SSOW and §8 Scope Ledger,,
v3.1,DEP-002-04-A02,PKG-002,DEL-002-04,Structural Sections & Details,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,Code-compliant functional facility,,Structural Sections & Details supports OBJ-001 (code-compliant functional facility),Datasheet.md,Identification > Supports Objectives,"OBJ-001, OBJ-003",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: OBJ-001 confirmed in decomposition §5 Objectives,,
v3.1,DEP-002-04-A03,PKG-002,DEL-002-04,Structural Sections & Details,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-003,Complete P.Eng.-stamped IFC documentation,,Structural Sections & Details supports OBJ-003 (complete P.Eng.-stamped IFC documentation),Datasheet.md,Identification > Supports Objectives,"OBJ-001, OBJ-003",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: OBJ-003 confirmed in decomposition §5 Objectives,,
v3.1,DEP-002-04-E01,PKG-002,DEL-002-04,Structural Sections & Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-002-01,,Preliminary Structural Design,,County approval of DEL-002-01 required before final design commences (R-01 §3.3.2),Procedure.md,Prerequisites > Upstream Deliverables,"County approval of Preliminary Structural Design... Required before final design commences",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: Explicit prerequisite. Hold-Point 2 in Procedure confirms this is a hard gate.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-04-E02,PKG-002,DEL-002-04,Structural Sections & Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-008,DEL-008-01,,Geotechnical Investigation & Report,,Geotech report required for foundation and service pit depth determination (R-01 §4.8.2),Procedure.md,Prerequisites > Upstream Deliverables,"Geotechnical investigation report... Required for foundation and service pit depth",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: Explicit prerequisite. Guidance P-07 elaborates geotech parameters needed for below-grade details.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-04-E03,PKG-002,DEL-002-04,Structural Sections & Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-008,DEL-008-02,,Preliminary Site Survey,,Preliminary site survey required for existing grade and site context,Procedure.md,Prerequisites > Upstream Deliverables,"Preliminary site survey... Required for existing grade and site context",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: Explicit prerequisite in Procedure table.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-04-E04,PKG-002,DEL-002-04,Structural Sections & Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-002-03,,Structural Framing Plans,,Section cut locations and member grid derive from framing plans; coordinate section cut schedule jointly,Procedure.md,Steps > Phase 1 > Step 1,"Coordinate with... DEL-002-03 to establish section cut lines",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: Explicit interface. Hold-Point 1 requires signed section cut schedule before Phase 2.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-04-E05,PKG-002,DEL-002-04,Structural Sections & Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-002-10,,Structural Calculation Package,,Member sizes and reinforcing must be established before detailing; sections are the drawn expression of calculations,Procedure.md,Prerequisites > Upstream Deliverables,"Structural calculation package (in progress)... Member sizes... must be established before detailing",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: Explicit prerequisite/interface. Guidance P-01 reinforces: do not finalize sections before calculations complete.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-04-E06,PKG-002,DEL-002-04,Structural Sections & Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-001,DEL-001-02,,Architectural Floor Plans,,"Architectural floor plans required to confirm room locations, wall offsets, door opening positions, mezzanine extents",Procedure.md,Prerequisites > Upstream Deliverables,"Architectural floor plans (coordinated)... Required to confirm room locations",EXPLICIT,,,TBD,MEDIUM,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: Explicit prerequisite in Procedure table. Marked ASSUMPTION in source regarding parallel development.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-04-E07,PKG-002,DEL-002-04,Structural Sections & Details,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,EXTERNAL,,,,Crane Supplier Information,,"Crane supplier/manufacturer data required for crane runway beam size, rail type, and end stop requirements",Procedure.md,Prerequisites > Upstream Deliverables,"Crane supplier/manufacturer information... Required for crane runway beam size",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-03-26,ACTIVE,FACT: Explicit prerequisite. Guidance T-04 proposes provisional design fallback if supplier data unavailable.,BLOCKING,TASK_ESTIMATING
