Src,Dst,DependencyID,Direction,FromDeliverableID,TargetDeliverableID,Evidence,Statement
DEL-001-01,DEL-001-02,DEP-001-02-E01,UPSTREAM,DEL-001-02,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-02_Floor-Plans/Dependencies.csv:5,County approval of DEL-001-01 (Preliminary Architectural Design) required before IFC production of floor plans. Explicit hold point in Procedure.
DEL-001-01,DEL-001-03,DEP-001-03-E01,UPSTREAM,DEL-001-03,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-03_Exterior-Elevations/Dependencies.csv:5,County approval of preliminary architectural design is required before committing to final exterior elevation geometry.
DEL-001-01,DEL-001-04,DEP-001-04-E01,UPSTREAM,DEL-001-04,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-04_Building-Sections/Dependencies.csv:5,County approval of preliminary design (DEL-001-01) is a gate condition before Phase B (IFC) of building sections can proceed.
DEL-001-01,DEL-001-05,DEP-001-05-E01,UPSTREAM,DEL-001-05,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-05_Interior-Elevations/Dependencies.csv:5,County approval of DEL-001-01 required before IFC issuance of interior elevations.
DEL-001-01,DEL-001-06,DEP-001-06-E01,UPSTREAM,DEL-001-06,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-06_Reflected-Ceiling-Plans/Dependencies.csv:5,County approval of preliminary architectural design is required before IFC reflected ceiling plans can be issued.
DEL-001-01,DEL-001-07,DEP-001-07-E01,UPSTREAM,DEL-001-07,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-07_Door-Window-Schedule/Dependencies.csv:5,County approval of preliminary design required before IFC door/window schedule can proceed.
DEL-001-01,DEL-001-08,DEP-001-08-E01,UPSTREAM,DEL-001-08,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-08_Finish-Schedule/Dependencies.csv:5,County approval of Preliminary Design is required before Finish Schedule can be issued for construction (IFC gate).
DEL-001-01,DEL-001-09,DEP-001-09-E01,UPSTREAM,DEL-001-09,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-09_Demolition-Plans/Dependencies.csv:5,County approval of preliminary architectural design (DEL-001-01) is required before proceeding to IFC demolition plans.
DEL-001-01,DEL-001-11,DEP-001-11-E01,UPSTREAM,DEL-001-11,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-11_Specification/Dependencies.csv:10,County approval of preliminary architectural design (DEL-001-01) is required before finalizing the specification.
DEL-001-01,DEL-002-03,DEP-002-03-E08,UPSTREAM,DEL-002-03,DEL-001-01,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-03_Framing-Plans/Dependencies.csv:12,County-approved preliminary architectural design required; structural framing must coordinate with approved floor plan and room layout
