RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-002-10-A01,PKG-002,DEL-002-10,Structural Calculation Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-002,,,PKG-002 Structural Design,,DEL-002-10 is a deliverable within PKG-002 Structural Design implementing SOW-0012 and SOW-0019,Datasheet.md,Identification > Package,"PKG-002 -- Structural Design",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Confirmed in decomposition line 389. Single parent package anchor.,,
v3.1,DEP-002-10-A02,PKG-002,DEL-002-10,Structural Calculation Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0012 Complete final structural design,,Structural Calculation Package covers SOW-0012,Datasheet.md,Attributes > Scope of Calculations,"covers structural calculations for the following elements",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Decomposition confirms DEL-002-10 covers SOW-0012.,,
v3.1,DEP-002-10-A03,PKG-002,DEL-002-10,Structural Calculation Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0019 Design foundation (variable-price post-geotech),,Structural Calculation Package covers SOW-0019,Datasheet.md,Attributes > Scope of Calculations > Foundation System,"Foundation design based on normal ground conditions (variable-price)",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Decomposition confirms DEL-002-10 covers SOW-0019.,,
v3.1,DEP-002-10-A04,PKG-002,DEL-002-10,Structural Calculation Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-001 Code-compliant functional facility,,Structural Calculation Package supports OBJ-001,Guidance.md,Purpose,"DEL-002-10 directly supports OBJ-001",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Confirmed in decomposition and Guidance Purpose section.,,
v3.1,DEP-002-10-A05,PKG-002,DEL-002-10,Structural Calculation Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-003 Complete P.Eng.-stamped IFC documentation,,Structural Calculation Package supports OBJ-003,Guidance.md,Purpose,"DEL-002-10 directly supports OBJ-003",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Confirmed in decomposition and Guidance Purpose section.,,
v3.1,DEP-002-10-A06,PKG-002,DEL-002-10,Structural Calculation Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-006 Foundation cost reconciled post-geotech,,Structural Calculation Package supports OBJ-006,Guidance.md,Purpose,"DEL-002-10 directly supports OBJ-006",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Confirmed in decomposition and Guidance Purpose section.,,
v3.1,DEP-002-10-E01,PKG-002,DEL-002-10,Structural Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-008,DEL-008-01,,Geotechnical Investigation & Report,,Geotechnical report is a required input for foundation calculations; blocking for final foundation design,Datasheet.md,Attributes > Key Design Parameters > Geotechnical Report,"Required input; report to be provided by Geotechnical Engineer (DEL-008-01)",EXPLICIT,,,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Multiple sources confirm (Datasheet Conditions; Spec REQ-005; Procedure Step 7; Guidance Foundation Uncertainty). Not blocking for preliminary calcs per RFP 4.8.2.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-10-E02,PKG-002,DEL-002-10,Structural Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-016,DEL-016-01,,Two 5-Tonne Overhead Cranes,,Crane manufacturer specifications required for final crane runway calculations; conservative assumptions may be used pending procurement,Procedure.md,Steps > Step 8 -- Crane Reconciliation,"When crane procurement (DEL-016-01) specifications are confirmed",EXPLICIT,,,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Procedure Step 8 explicitly gates crane reconciliation on DEL-016-01. Not blocking for preliminary calcs -- conservative 5-tonne class parameters assumed.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-10-E03,PKG-002,DEL-002-10,Structural Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-001,DEL-001-01,,Preliminary Architectural Design,,Preliminary architectural design input required for floor plan coordination before final calculations,Procedure.md,Prerequisites,"Preliminary Architectural Design input (DEL-002-01 / DEL-001-01) -- Pending -- required for floor plan coordination",EXPLICIT,,,PENDING,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Procedure prerequisites state architectural input required. Preliminary dimensions from App B sufficient for early work.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-10-E04,PKG-002,DEL-002-10,Structural Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,ENABLES,DELIVERABLE,PKG-002,DEL-002-01,,Preliminary Structural Design,,Preliminary calculations must be completed to support DEL-002-01 County approval presentation,Datasheet.md,Conditions > Constraints,"Calculations must support County approval of Preliminary Structural Design (DEL-002-01)",EXPLICIT,,,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Constraint explicitly requires sufficient calcs before DEL-002-01 presentation. Procedure Step 3 details minimum preliminary scope.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-10-E05,PKG-002,DEL-002-10,Structural Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-002,DEL-002-02,,Foundation Plan,,Calculation outputs (foundation design) feed directly into Foundation Plan drawings,Datasheet.md,Construction,"DEL-002-02 Foundation Plan",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Datasheet Construction section explicitly lists DEL-002-02 as supported by calculations.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-10-E06,PKG-002,DEL-002-10,Structural Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-002,DEL-002-03,,Structural Framing Plans,,Calculation outputs (member sizes and framing) feed directly into Structural Framing Plans,Datasheet.md,Construction,"DEL-002-03 Structural Framing Plans",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Datasheet Construction section explicitly lists DEL-002-03.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-10-E07,PKG-002,DEL-002-10,Structural Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-002,DEL-002-04,,Structural Sections & Details,,Calculation outputs feed into Structural Sections & Details drawings,Datasheet.md,Construction,"DEL-002-04 Structural Sections & Details",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Datasheet Construction section explicitly lists DEL-002-04 through DEL-002-09.,ADVISORY,TASK_ESTIMATING
