RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-006-07-001,PKG-006,DEL-006-07,Plumbing Calculation Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0016,WDMLRL_Decomposition_Claude.md,DEL-006-07 implements SOW-0016: Complete final plumbing design (water supply; drainage; septic),Datasheet.md,Datasheet.md > Identification > SOW Reference,SOW Reference: SOW-0016,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Parent anchor confirmed in Datasheet.md Identification table and decomposition scope ledger.,,
v3.1,DEP-006-07-002,PKG-006,DEL-006-07,Plumbing Calculation Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-003,P.Eng.-stamped IFC documentation across all disciplines,WDMLRL_Decomposition_Claude.md,DEL-006-07 traces to OBJ-003: Produce complete P.Eng.-stamped IFC design documentation,Datasheet.md,Datasheet.md > Identification > Objectives,"Objectives: OBJ-003 (P.Eng.-stamped IFC documentation), OBJ-004",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Objective trace explicitly listed in Datasheet.md Identification table. Confirmed in decomposition.,,
v3.1,DEP-006-07-003,PKG-006,DEL-006-07,Plumbing Calculation Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-004,Mechanical/plumbing/water systems operational readiness,WDMLRL_Decomposition_Claude.md,DEL-006-07 traces to OBJ-004: Install and commission all mechanical/plumbing/water storage systems to operational readiness,Datasheet.md,Datasheet.md > Identification > Objectives,"Objectives: OBJ-003 (P.Eng.-stamped IFC documentation), OBJ-004",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Objective trace explicitly listed in Datasheet.md Identification table. Confirmed in decomposition.,,
v3.1,DEP-006-07-004,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-006,DEL-006-06,,Plumbing Fixture Schedule,,DEL-006-07 requires co-developed fixture schedule (DEL-006-06) for fixture coverage cross-reference and fixture unit counts,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables,"Plumbing fixture schedule (DEL-006-06) — TBD — fixture schedule and calculation package are co-developed",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicitly listed as prerequisite in Procedure.md. Co-developed; mutual dependency. Also referenced in Datasheet.md Fixtures table note.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-006-07-005,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-001,DEL-001-02,,Architectural Floor Plans,,DEL-006-07 requires preliminary architectural floor plan (room dimensions; occupancy) for occupancy-based fixture counts,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables,"Preliminary architectural floor plan (room dimensions, occupancy) — DEL-001-01 or DEL-001-02",EXPLICIT,TBD,TBD,PENDING,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. Explicitly listed in Procedure.md Prerequisites. Source states DEL-001-01 or DEL-001-02; DEL-001-02 (Floor Plans) is the more likely artifact. ASSUMPTION: DEL-001-02 is the primary target.",BLOCKING,TASK_ESTIMATING
v3.1,DEP-006-07-006,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-008,DEL-008-01,,Geotechnical Investigation and Report,,DEL-006-07 may require geotechnical investigation report for septic system siting if required by authority,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables,"Geotechnical investigation report — DEL-008-01 — TBD — required for septic authority submission",EXPLICIT,TBD,TBD,PENDING,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. Explicitly listed as prerequisite in Procedure.md. Conditioned on authority requirements. ASSUMPTION: holding tank installation may not require geotech if shallow excavation only.",ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-07-007,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,R-01 — AB-2026-01424-WDMLRL RFP.pdf,_Sources/,DEL-006-07 requires R-01 (RFP) as primary source for design requirements (cistern size; pump specs; septic size; fixture list),Procedure.md,Procedure.md > Required References,"R-01 — Design requirements (§3.4); scope of work (§3.3.2)",EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicitly listed as required reference. Document is available.,INFO,TASK_ESTIMATING
v3.1,DEP-006-07-008,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,R-06 — AB-2026-01424-Appendix B (Plumbing).pdf,_Sources/,DEL-006-07 requires R-06 (Appendix B Plumbing) as conceptual fixture and drain layout reference,Procedure.md,Procedure.md > Required References,R-06 — Conceptual fixture and drain layout,EXPLICIT,TBD,TBD,SATISFIED,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicitly listed as required reference. Document is available.,INFO,TASK_ESTIMATING
v3.1,DEP-006-07-009,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,National Plumbing Code of Canada (NPC),,DEL-006-07 requires NPC as governing sizing and compliance reference for all pipe sizing; fixture units; drainage; and venting calculations,Procedure.md,Procedure.md > Required References,"National Plumbing Code of Canada (applicable edition) — ASSUMPTION — Sizing tables and methods",EXPLICIT,TBD,TBD,PENDING,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. Explicitly listed as required reference. ASSUMPTION: NPC is likely governing code; specific edition TBD pending Safety Code Officer confirmation.",BLOCKING,TASK_ESTIMATING
v3.1,DEP-006-07-010,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-006,DEL-006-02,,Water Distribution Plans,,DEL-006-07 calculation outputs feed the IFC plumbing drawing set; DEL-006-02 (Water Distribution Plans) consumes supply sizing results,Guidance.md,Guidance.md > Purpose,"Demonstrates that the systems sized in the IFC plumbing drawings (DEL-006-02 through DEL-006-05) meet the explicit design requirements",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance.md Purpose explicitly states calculation package feeds IFC drawings DEL-006-02 through DEL-006-05. Procedure.md Step 9.4 requires cross-reference.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-07-011,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-006,DEL-006-03,,Drain and Vent Plans,,DEL-006-07 calculation outputs feed the IFC plumbing drawing set; DEL-006-03 (Drain and Vent Plans) consumes drainage and vent sizing results,Guidance.md,Guidance.md > Purpose,"systems sized in the IFC plumbing drawings (DEL-006-02 through DEL-006-05)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance.md Purpose explicitly states calculation package feeds IFC drawings DEL-006-02 through DEL-006-05.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-07-012,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-006,DEL-006-04,,Cistern and Pump Details,,DEL-006-07 calculation outputs feed the IFC plumbing drawing set; DEL-006-04 (Cistern and Pump Details) consumes pump selection and cistern sizing results,Guidance.md,Guidance.md > Purpose,"systems sized in the IFC plumbing drawings (DEL-006-02 through DEL-006-05)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance.md Purpose explicitly states calculation package feeds IFC drawings DEL-006-02 through DEL-006-05.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-006-07-013,PKG-006,DEL-006-07,Plumbing Calculation Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-006,DEL-006-05,,Septic System Details,,DEL-006-07 calculation outputs feed the IFC plumbing drawing set; DEL-006-05 (Septic System Details) consumes septic sizing results,Guidance.md,Guidance.md > Purpose,"systems sized in the IFC plumbing drawings (DEL-006-02 through DEL-006-05)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance.md Purpose explicitly states calculation package feeds IFC drawings DEL-006-02 through DEL-006-05.,ADVISORY,TASK_ESTIMATING
