RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-021-05-A01,PKG-021,DEL-021-05,Guarantee Period Obligations,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-021,,,PKG-021 — Bonding Insurance & Warranty,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-021,DEL-021-05 implements PKG-021 parent node for Bonding Insurance & Warranty,Datasheet.md,Datasheet.md > Identification > Decomposition Reference,Decomposition Reference: WDMLRL_Decomposition_Claude.md §7 PKG-021,EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Parent anchor confirmed in Decomposition §7 PKG-021 deliverables table,,
v3.1,DEP-021-05-A02,PKG-021,DEL-021-05,Guarantee Period Obligations,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,SOW-0120,_Decomposition/WDMLRL_Decomposition_Claude.md §8 Scope Ledger,DEL-021-05 traces to SOW-0120: Guarantee all materials and workmanship for construction period plus 2-year warranty period following CCC,Datasheet.md,Datasheet.md > Identification > SOW Items Covered,SOW Items Covered: SOW-0120 SOW-0121,EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: SOW-0120 confirmed in Decomposition §8 scope ledger mapped to DEL-021-05,,
v3.1,DEP-021-05-A03,PKG-021,DEL-021-05,Guarantee Period Obligations,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,SOW-0121,_Decomposition/WDMLRL_Decomposition_Claude.md §8 Scope Ledger,DEL-021-05 traces to SOW-0121: Rectify defects discovered during guarantee period within 10 days of Owner written instruction,Datasheet.md,Datasheet.md > Identification > SOW Items Covered,SOW Items Covered: SOW-0120 SOW-0121,EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: SOW-0121 confirmed in Decomposition §8 scope ledger mapped to DEL-021-05,,
v3.1,DEP-021-05-A04,PKG-021,DEL-021-05,Guarantee Period Obligations,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-008,_Decomposition/WDMLRL_Decomposition_Claude.md §5 Objectives,DEL-021-05 supports OBJ-008: Satisfy all bonding insurance and warranty obligations through the 2-year guarantee period post-CCC,Datasheet.md,Datasheet.md > Identification > Objective Supported,"Objective Supported: OBJ-008",EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: OBJ-008 confirmed in Decomposition §5 objectives table and §7 PKG-021 deliverables table,,
v3.1,DEP-021-05-E01,PKG-021,DEL-021-05,Guarantee Period Obligations,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-020,DEL-020-02,,Final Inspection & CCC,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-020,CCC must be issued and signed by Owner before warranty period begins; CCC date is the warranty period start trigger,Procedure.md,Procedure.md > Prerequisites > Required Upstream Deliverables,CCC must be issued and signed by Owner before warranty period begins,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Explicit prerequisite in Procedure and Datasheet Conditions. CCC issuance gates all warranty period activities.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-021-05-E02,PKG-021,DEL-021-05,Guarantee Period Obligations,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DELIVERABLE,PKG-021,DEL-021-02,,Performance & Payment Bonds,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-021,Performance bond must remain in effect during warranty period to support remediation cost recovery,Procedure.md,Procedure.md > Prerequisites > Required Upstream Deliverables,Performance bond must remain in effect during warranty period,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Explicit constraint in Procedure Prerequisites and Specification REQ-021-05-06. Bond continuation verified at warranty start (Step 1.3).,ADVISORY,TASK_ESTIMATING
v3.1,DEP-021-05-E03,PKG-021,DEL-021-05,Guarantee Period Obligations,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DELIVERABLE,PKG-021,DEL-021-03,,Insurance Package,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-021,Contractor insurance should remain in effect during warranty period,Procedure.md,Procedure.md > Prerequisites > Required Upstream Deliverables,Contractor insurance should remain in effect during warranty period,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Explicit constraint in Procedure Prerequisites and Specification REQ-021-05-06. Insurance continuation verified at warranty start (Step 1.3).,ADVISORY,TASK_ESTIMATING
v3.1,DEP-021-05-E04,PKG-021,DEL-021-05,Guarantee Period Obligations,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-021,DEL-021-04,,CCDC 14-2013 Contract Execution,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-021,Contract terms (CCDC 14-2013) establish warranty obligations; executed contract needed to confirm warranty clauses and additional obligations,Procedure.md,Procedure.md > Prerequisites > Required Upstream Deliverables,Contract warranty terms must be understood and accessible,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Explicit in Procedure Prerequisites. Also referenced in Specification Standards (CCDC 14-2013 warranty clauses TBD per Semantic Lensing C-001) and Guidance C-5/P-4.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-021-05-E05,PKG-021,DEL-021-05,Guarantee Period Obligations,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,PACKAGE,PKG-020,,,Commissioning & Closeout,_Decomposition/WDMLRL_Decomposition_Claude.md §6 Packages,Substantial completion (PKG-020) triggers warranty period start; commissioning and closeout must be complete before warranty administration begins,Procedure.md,Procedure.md > Prerequisites > Required Upstream Deliverables,Substantial completion triggers warranty period start,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: Explicit prerequisite in Procedure and Datasheet Conditions. PKG-020 completion is the gating event for DEL-021-05 activation.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-021-05-E06,PKG-021,DEL-021-05,Guarantee Period Obligations,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DOCUMENT,,,,AB-2026-01424-WDMLRL RFP.pdf,_REFERENCES.md R-01,RFP §2.10 (Guarantee Period) and §2.11 (Deficiency Holdback) are the primary governing requirements for all warranty period obligations,Procedure.md,Procedure.md > Prerequisites > Required Reference Materials,AB-2026-01424-WDMLRL RFP.pdf §2.10 §2.11,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT: RFP is the primary normative source for all guarantee period requirements. Referenced throughout all four production documents.,INFO,TASK_ESTIMATING
