RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-015-03-001,PKG-015,DEL-015-03,Receptacle Installation,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-015,,PKG-015,Electrical & Low-Voltage Installation,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-015 table,DEL-015-03 implements PKG-015 Electrical & Low-Voltage Installation as defined in decomposition §7.,Datasheet.md,Datasheet.md > Identification > Package,"Package: PKG-015 — Electrical & Low-Voltage Installation",EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Parent anchor confirmed against decomposition §7 PKG-015 deliverable table.,,
v3.1,DEP-015-03-002,PKG-015,DEL-015-03,Receptacle Installation,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0057,SOW-0057: Welding-grade receptacle installation,_Decomposition/WDMLRL_Decomposition_Claude.md §3 / §8,DEL-015-03 traces to SOW-0057: Install multiple high-voltage welding-grade electrical receptacles throughout shop area (assumed 50A/240V per D-009).,Datasheet.md,Datasheet.md > Identification > Covers SOW Items,"Covers SOW Items: SOW-0057, SOW-0058",EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit SOW coverage in Datasheet identification table. SOW-0057 confirmed in decomposition §3 and §8 scope ledger.,,
v3.1,DEP-015-03-003,PKG-015,DEL-015-03,Receptacle Installation,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0058,SOW-0058: General receptacle installation per electrical drawing,_Decomposition/WDMLRL_Decomposition_Claude.md §3 / §8,DEL-015-03 traces to SOW-0058: Install 15A/120V 20A/120V 20A/240V 30A/240V and 50A/240V receptacles per electrical drawing layout.,Datasheet.md,Datasheet.md > Identification > Covers SOW Items,"Covers SOW Items: SOW-0057, SOW-0058",EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit SOW coverage in Datasheet identification table. SOW-0058 confirmed in decomposition §3 and §8 scope ledger.,,
v3.1,DEP-015-03-004,PKG-015,DEL-015-03,Receptacle Installation,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,"OBJ-001: Code-compliant, fully functional maintenance shop addition",_Decomposition/WDMLRL_Decomposition_Claude.md §5,DEL-015-03 supports OBJ-001: Deliver a code-compliant fully functional maintenance shop addition that satisfies the County's operational program and passes all applicable inspections.,Datasheet.md,Datasheet.md > Identification > Supports Objectives,"Supports Objectives: OBJ-001, OBJ-005",EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit objective support in Datasheet identification table. OBJ-001 confirmed in decomposition §5.,,
v3.1,DEP-015-03-005,PKG-015,DEL-015-03,Receptacle Installation,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,OBJ-005: Electrical and low-voltage systems to operational readiness,_Decomposition/WDMLRL_Decomposition_Claude.md §5,DEL-015-03 supports OBJ-005: Install and commission all electrical and low-voltage systems to operational readiness including receptacles per the electrical drawing.,Datasheet.md,Datasheet.md > Identification > Supports Objectives,"Supports Objectives: OBJ-001, OBJ-005",EXPLICIT,TBD,TBD,NOT_APPLICABLE,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit objective support in Datasheet identification table. OBJ-005 confirmed in decomposition §5.,,
v3.1,DEP-015-03-006,PKG-015,DEL-015-03,Receptacle Installation,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-015,DEL-015-01,,DEL-015-01: Three-Phase Power Service,,Three-phase power service (DEL-015-01) must be energized before receptacle circuits can be commissioned. Main distribution panelboard(s) must be installed and branch circuit capacity available.,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables > P-01,"DEL-015-01 Three-Phase Power Service: main distribution panelboard(s) installed and branch circuit capacity available",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Stated as prerequisite P-01 in Procedure; reinforced in Datasheet Conditions (Upstream Dependency) and Guidance Principle 3 and Specification REQ-015-03-05.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-015-03-007,PKG-015,DEL-015-03,Receptacle Installation,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-004,DEL-004-05,,DEL-004-05: Receptacle Layout Plans (IFC),,IFC Receptacle Layout Plans (DEL-004-05) must be issued for construction before rough-in can begin. These are the binding authority for receptacle locations quantities and circuit assignments.,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables > P-02,"DEL-004-05 Receptacle Layout Plans (IFC): signed/stamped drawings issued for construction",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Stated as prerequisite P-02 in Procedure; reinforced in Specification REQ-015-03-03 and Guidance Principle 4. Final receptacle layout authority.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-015-03-008,PKG-015,DEL-015-03,Receptacle Installation,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-004,DEL-004-06,,DEL-004-06: Panel Schedules (IFC),,IFC Panel Schedules (DEL-004-06) must be issued for construction before breaker installation and circuit identification. Required for circuit assignments for all receptacle circuits.,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables > P-03,"DEL-004-06 Panel Schedules (IFC): circuit assignments confirmed for all receptacle circuits",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Stated as prerequisite P-03 in Procedure; reinforced in Specification REQ-015-03-03 and Datasheet Construction section.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-015-03-009,PKG-015,DEL-015-03,Receptacle Installation,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-004,DEL-004-09,,DEL-004-09: Electrical Specification (IFC),,IFC Electrical Specification (DEL-004-09) must be available before device procurement and installation. Required to confirm device grade NEMA configurations GFCI/AFCI requirements installation methods and code edition.,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables > P-04,"DEL-004-09 Electrical Specification (IFC): installation specification available",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Stated as prerequisite P-04 in Procedure; reinforced across Specification REQs (REQ-015-03-01 -02 -04 -07 -09 -10) and Datasheet Construction and Guidance Principle 4.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-015-03-010,PKG-015,DEL-015-03,Receptacle Installation,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,EXTERNAL,,,,,Building structure: walls framing concrete,DEL-015-03 requires building structure (wall framing and rough-in) to be complete before receptacle device installation can proceed. Rough framing and concrete pours must be complete for areas receiving receptacles.,Procedure.md,Procedure.md > Prerequisites > Upstream Deliverables > P-05,"Building structure (walls, framing, concrete): rough framing and pour complete for areas receiving receptacles",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Stated as prerequisite P-05 in Procedure; reinforced in Datasheet Conditions (Building Structure Dependency). Target is external to PKG-015 (general contractor scope).,BLOCKING,TASK_ESTIMATING
