ItemID,DeliverableID,Description,Qty,Unit,PricingMode,SourceDoc,SourceSection,Notes
ITM-001,DEL-004-07,Project Management — low-voltage plans coordination and oversight,6,hr,UNIT_RATE,Procedure,Prerequisites / Steps 1-8,PM hours for scope confirmation; coordination reviews; IFC oversight; inspection coordination
ITM-002,DEL-004-07,Cost Estimating — low-voltage plans quantity takeoff support,4,hr,UNIT_RATE,Procedure,Steps 1-2,Cost estimator hours for scope confirmation and code/permit requirements
ITM-003,DEL-004-07,BIM/CAD Production — low-voltage plan sheet production,36,hr,UNIT_RATE,Procedure,Steps 3-5,BIM technician hours for base plan markup; drafting plan views; legend and notes; sheet setup; coordination markups; revision updates
ITM-004,DEL-004-07,Electrical Engineering — low-voltage system design and IFC stamp,84,hr,UNIT_RATE,Specification,REQ-007-01 through REQ-007-09,Senior electrical engineer hours for scope confirmation with County; code/permit research; camera system layout design; radio antenna routing design; conduit sizing and fill calculations; multi-discipline coordination; IFC review and P.Eng. stamp
ITM-005,DEL-004-07,Security camera wiring layout design — plan view routing,TBD,EA,LUMP_SUM,Datasheet,Attributes / Low-Voltage Systems Covered,Camera count and technology (IP vs analog) TBD; conduit/cable pathway design per Procedure Step 4. Qty depends on County preliminary design decisions. Covered within ITM-004 engineering hours.
ITM-006,DEL-004-07,2-way radio antenna wire routing design — plan view routing,TBD,EA,LUMP_SUM,Datasheet,Attributes / Low-Voltage Systems Covered,Antenna point count TBD; depends on radio system type and concrete shielding assessment per Guidance. Covered within ITM-004 engineering hours.
ITM-007,DEL-004-07,Additional low-voltage systems determination (fire alarm / data / access control / intercom),TBD,EA,LUMP_SUM,Specification,REQ-007-08 / REQ-007-09,Scope TBD per Specification; fire alarm likely code-required (ASSUMPTION). If additional systems confirmed at preliminary design these may expand drawing set scope and hours. Not priced — awaiting County confirmation.
ITM-008,DEL-004-07,Multi-discipline coordination review,1,LS,LUMP_SUM,Procedure,Step 6 — Internal Review and Coordination,Coordination with architectural (DEL-001-02); structural (DEL-002-03/07); power distribution (DEL-004-03); lighting (DEL-004-04); receptacle (DEL-004-05). Included in ITM-001/ITM-004 hours.
ITM-009,DEL-004-07,P.Eng. IFC stamp and issue,1,LS,LUMP_SUM,Specification,REQ-007-03,P.Eng. stamp on all IFC sheets; Alberta-licensed engineer required. Included in ITM-004 hours.
ITM-010,DEL-004-07,Construction support and inspection coordination,1,LS,LUMP_SUM,Procedure,Step 8 — Support Construction and Inspections,Inspection requests; County coordination; drawing revisions for field conditions. Hours included in ITM-001/ITM-004 allocations.
