RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-002-03-A01,PKG-002,DEL-002-03,Structural Framing Plans,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0012,Complete final structural design (concrete structure 35' ceiling),_Decomposition/WDMLRL_Decomposition_Claude.md,Structural Framing Plans implements SOW-0012 — Complete final structural design,Datasheet.md,Identification > Scope Item(s) Covered,SOW-0012,EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition: SOW-0012 maps to PKG-002 deliverables including DEL-002-03.,,
v3.1,DEP-002-03-A02,PKG-002,DEL-002-03,Structural Framing Plans,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,Code-compliant fully functional facility,_Decomposition/WDMLRL_Decomposition_Claude.md,Structural Framing Plans supports OBJ-001 — deliver a code-compliant fully functional maintenance shop addition,Datasheet.md,Identification > Objectives Supported,"OBJ-001, OBJ-003",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition: DEL-002-03 supports OBJ-001.,,
v3.1,DEP-002-03-A03,PKG-002,DEL-002-03,Structural Framing Plans,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-003,Complete P.Eng.-stamped IFC documentation,_Decomposition/WDMLRL_Decomposition_Claude.md,Structural Framing Plans supports OBJ-003 — produce complete P.Eng.-stamped IFC design documentation,Datasheet.md,Identification > Objectives Supported,"OBJ-001, OBJ-003",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition: DEL-002-03 supports OBJ-003.,,
v3.1,DEP-002-03-E01,PKG-002,DEL-002-03,Structural Framing Plans,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-002-01,,Preliminary Structural Design,,County approval of preliminary structural design required before IFC drawing production per R-01 s3.3.2,Procedure.md,Prerequisites > Information Inputs Required,"County approval of preliminary structural design... Required before IFC drawing production",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit gate: IFC production cannot proceed without County-approved preliminary design.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-03-E02,PKG-002,DEL-002-03,Structural Framing Plans,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-008,DEL-008-01,,Geotechnical Investigation & Report,,Geotechnical report required before finalizing foundation/structural loads; impacts soil bearing frost depth and slab subgrade design,Procedure.md,Prerequisites > Information Inputs Required,"Geotechnical investigation and report... Required before finalizing foundation/structural loads",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Stated as prerequisite. Guidance notes superstructure framing can begin before geotech completes but finalization requires it.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-03-E03,PKG-002,DEL-002-03,Structural Framing Plans,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-001,DEL-001-02,,Architectural Floor Plans,,Required for coordination of column grid with room layout door openings and drive-through bay clear widths,Procedure.md,Prerequisites > Information Inputs Required,"Architectural floor plans... Required for coordination of column grid with room layout",EXPLICIT,,,TBD,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit coordination input required for column grid development.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-03-E04,PKG-002,DEL-002-03,Structural Framing Plans,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,EXTERNAL,,,,Crane Manufacturer Data,Crane supplier (SOW-0067),"Crane wheel loads wheel base runway span crane weight trolley weight and hook approach dimensions required for crane runway framing design (REQ-FP-04 REQ-FP-17)",Procedure.md,Prerequisites > Information Inputs Required,"Crane manufacturer data... Required: wheel loads wheel base runway span crane weight",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite; crane data acceptance criteria defined in Procedure Step 1.3.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-03-E05,PKG-002,DEL-002-03,Structural Framing Plans,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-002-02,,Foundation Plan,,Column grid coordination — framing plan column locations must be consistent with foundation plan,Procedure.md,Steps > Step 4.5,"Coordinate framing plan column locations with the foundation plan (DEL-002-02)",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit bidirectional interface; framing plans provide column loads to foundation plan and must align geometrically.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-002-03-E06,PKG-002,DEL-002-03,Structural Framing Plans,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-011,DEL-011-01,,Concrete Superstructure,,IFC framing plans transmitted to General Contractor for superstructure construction,Procedure.md,Steps > Step 6.3,"Transmit the IFC drawing set to... General Contractor for construction (PKG-011)",EXPLICIT,,,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit handover of IFC drawings for construction execution.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-002-03-E07,PKG-002,DEL-002-03,Structural Framing Plans,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-008,DEL-008-02,,Preliminary Site Survey,,Required for site datum and existing building interface conditions,Procedure.md,Prerequisites > Information Inputs Required,"Preliminary site survey... Required for site datum and existing building interface conditions",EXPLICIT,,,TBD,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite for establishing site datum and existing building interface.,ADVISORY,TASK_ESTIMATING
