RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-021-02-001,PKG-021,DEL-021-02,Performance & Payment Bonds,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,OBJ-008,Commercial & Legal Compliance,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-021-02 implements OBJ-008 (Commercial & Legal Compliance) — satisfy all bonding obligations,Datasheet.md,Datasheet > Identification > Governing Objective,Governing Objective: OBJ-008 (Commercial & Legal Compliance),EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition: OBJ-008 maps to PKG-021 which contains DEL-021-02.,,
v3.1,DEP-021-02-002,PKG-021,DEL-021-02,Performance & Payment Bonds,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0099,Provide 50% Performance Bond upon contract execution,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-021-02 traces to SOW-0099: Provide 50% Performance Bond upon contract execution,Datasheet.md,Datasheet > Identification > Governing SOW Items,Governing SOW Items: SOW-0099,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition scope ledger: SOW-0099 mapped to DEL-021-02.,,
v3.1,DEP-021-02-003,PKG-021,DEL-021-02,Performance & Payment Bonds,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0100,Provide 50% Labour & Material Payment Bond upon contract execution,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-021-02 traces to SOW-0100: Provide 50% L&M Payment Bond upon contract execution,Datasheet.md,Datasheet > Identification > Governing SOW Items,Governing SOW Items: SOW-0100,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition scope ledger: SOW-0100 mapped to DEL-021-02.,,
v3.1,DEP-021-02-004,PKG-021,DEL-021-02,Performance & Payment Bonds,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0101,Provide bonding within 10 days of award notification,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-021-02 traces to SOW-0101: Provide bonding within 10 days of award notification,Datasheet.md,Datasheet > Identification > Governing SOW Items,Governing SOW Items: SOW-0101,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition scope ledger: SOW-0101 mapped to DEL-021-02.,,
v3.1,DEP-021-02-005,PKG-021,DEL-021-02,Performance & Payment Bonds,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-021,DEL-021-01,,Bid Security Package,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-021-01 (Bid Security) establishes surety relationship via Consent of Surety; required input before performance bond procurement can proceed,Procedure.md,Procedure > Prerequisites > Upstream Deliverables,Consent of Surety must have been provided with bid submission establishing the surety relationship,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Also declared in _DEPENDENCIES.md. Surety relationship/Consent of Surety artifact from DEL-021-01 is a required input for bond procurement.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-021-02-006,PKG-021,DEL-021-02,Performance & Payment Bonds,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,ENABLES,DELIVERABLE,PKG-021,DEL-021-04,,CCDC 14-2013 Contract Execution,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-021-02 produces executed bonds required by DEL-021-04 before contract can be executed,Guidance.md,Guidance > Considerations > Coordination with Contract Execution (DEL-021-04),Performance and Payment Bonds must be in place before or concurrent with contract execution,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Also declared in _DEPENDENCIES.md. Bonds are a prerequisite for contract execution (DEL-021-04).,BLOCKING,TASK_ESTIMATING
v3.1,DEP-021-02-007,PKG-021,DEL-021-02,Performance & Payment Bonds,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,EXTERNAL,,,,,,"Contract Award Notification from Camrose County triggers 10-day bonding clock; required before bond procurement can begin",Procedure.md,Procedure > Prerequisites > Upstream Deliverables,"Contract Award Notification: Written notification from Camrose County of award; triggers 10-day bonding clock",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. External trigger/input. Award notification is the gate event for all bond procurement activity.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-021-02-008,PKG-021,DEL-021-02,Performance & Payment Bonds,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,RFP Section 2.12 (Surety Bonding),_REFERENCES.md,RFP §2.12 is the primary governing requirement for bond amounts; surety eligibility; form requirements; and delivery timeline,Datasheet.md,Datasheet > References > R-01,AB-2026-01424-WDMLRL RFP.pdf §2.12 — Primary bonding requirements,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Normative document constraining all bond requirements.,INFO,TASK_ESTIMATING
v3.1,DEP-021-02-009,PKG-021,DEL-021-02,Performance & Payment Bonds,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,CCDC 14-2013 Design-Build Stipulated Price Contract,location TBD,Bond forms must be compatible with CCDC 14-2013 Contract documents; full text not in accessible sources,Procedure.md,Procedure > Prerequisites > Required References,CCDC 14-2013 Contract documents: Bond forms must be compatible with Contract documents,EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Referenced as constraint but full text not accessible. Location TBD.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-021-02-010,PKG-021,DEL-021-02,Performance & Payment Bonds,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,EXTERNAL,,,,Confirmed Contract Price,,Confirmed Contract Price required to calculate bond face amounts (50% of Contract price each); not known until contract award,Procedure.md,Procedure > Prerequisites > Required References,Confirmed Contract Price: Required to calculate bond face amounts (50% each),EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Bond amounts are 50% of Contract price; cannot be finalized until price is confirmed at award.,BLOCKING,TASK_ESTIMATING
