RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-013-03-A01,PKG-013,DEL-013-03,Forced-Air Makeup System,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0037,Decomposition SSOW §E,DEL-013-03 implements SOW-0037: Install forced-air makeup air system,Datasheet.md,Identification > SOW Reference,SOW Reference: SOW-0037,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition scope ledger line 633 and Datasheet Identification.,,
v3.1,DEP-013-03-A02,PKG-013,DEL-013-03,Forced-Air Makeup System,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-001,Decomposition §5 Objectives,DEL-013-03 traces to OBJ-001: Deliver a code-compliant fully functional maintenance shop addition,Datasheet.md,Identification > Objective Linkage,Objective Linkage: OBJ-001,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition deliverable table line 503.,,
v3.1,DEP-013-03-A03,PKG-013,DEL-013-03,Forced-Air Makeup System,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-004,Decomposition §5 Objectives,DEL-013-03 traces to OBJ-004: Install and commission all mechanical plumbing and water storage systems to operational readiness,Datasheet.md,Identification > Objective Linkage,Objective Linkage: OBJ-004,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in decomposition deliverable table line 503.,,
v3.1,DEP-013-03-E01,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-003,DEL-003-02,,HVAC Layout Plans,_Decomposition/WDMLRL_Decomposition_Claude.md,IFC Mechanical Drawings (HVAC Plans) must be approved and P.Eng.-stamped before MUA procurement and installation can begin,Procedure.md,Prerequisites > PRE-01,IFC Mechanical Drawings approved -- DEL-003-02 (HVAC Plans) signed/stamped by P.Eng.,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite PRE-01 in Procedure.md.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E02,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-003,DEL-003-03,,Ductwork & Distribution Plans,_Decomposition/WDMLRL_Decomposition_Claude.md,IFC Ductwork & Distribution Plans must be approved and P.Eng.-stamped before MUA ductwork fabrication and installation,Procedure.md,Prerequisites > PRE-01,IFC Mechanical Drawings approved -- DEL-003-03 (Ductwork Plans) signed/stamped by P.Eng.,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite PRE-01 in Procedure.md.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E03,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-003,DEL-003-05,,Mechanical Equipment Schedule,_Decomposition/WDMLRL_Decomposition_Claude.md,Mechanical Equipment Schedule must be issued confirming MUA unit make model and capacity before procurement,Procedure.md,Prerequisites > PRE-02,Mechanical Equipment Schedule (DEL-003-05) issued -- MUA unit make model and capacity confirmed,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite PRE-02 in Procedure.md.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E04,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-003,DEL-003-06,,Mechanical Calculation Package,_Decomposition/WDMLRL_Decomposition_Claude.md,Mechanical Calculation Package must establish required MUA supply airflow rate reconciled with exhaust volumes before equipment selection and duct sizing,Procedure.md,Prerequisites > PRE-04,"Mechanical Calculation Package (DEL-003-06) reviewed -- MUA supply airflow rate established and reconciled with exhaust volumes",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite PRE-04 in Procedure.md. Datasheet marks this TBD (BLOCKING). Primary design driver per Guidance P1.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E05,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-003,DEL-003-07,,Mechanical Specification,_Decomposition/WDMLRL_Decomposition_Claude.md,Mechanical Specification must be issued before installation -- governs installation standards ductwork insulation and equipment requirements,Procedure.md,Prerequisites > PRE-03,Mechanical Specification (DEL-003-07) issued,EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite PRE-03 in Procedure.md. Referenced throughout Specification and Datasheet for TBD values.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E06,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-012,DEL-012-02,,Utility Room,_Decomposition/WDMLRL_Decomposition_Claude.md,Utility Room must be substantially complete (floor walls roof electrical rough-in) before MUA unit can be set in place,Procedure.md,Prerequisites > PRE-07,"Utility Room (DEL-012-02) substantially complete -- floor walls roof in place; electrical rough-in available",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite PRE-07 in Procedure.md. Also referenced in _DEPENDENCIES.md External Dependencies and Guidance C2.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E07,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-013,DEL-013-01,,High-Recovery Heating System,_Decomposition/WDMLRL_Decomposition_Claude.md,MUA heating must be coordinated with DEL-013-01; physical and control integration required; heating capacity must handle makeup air volume,Specification.md,REQ-013-03-05 and REQ-013-03-09,"Heating shall be coordinated with the high-recovery heating system (DEL-013-01)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Bidirectional interface -- MUA heating integration with DEL-013-01. Explicit in Specification REQ-013-03-05 and REQ-013-03-09; _DEPENDENCIES.md Internal Package Dependencies; Procedure Step 4.3.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-013-03-E08,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-013,DEL-013-02,,High-Volume Air Exchanger,_Decomposition/WDMLRL_Decomposition_Claude.md,Fresh air intake location must coordinate with DEL-013-02 intake; controls interlock required to prevent conflicting operation; operating modes must be coordinated,Specification.md,REQ-013-03-07 and REQ-013-03-09,"Fresh air intake shall be located to coordinate with the air exchanger intake (DEL-013-02)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Bidirectional interface -- intake coordination and controls interlock. Explicit in Specification REQ-013-03-07 and REQ-013-03-09; Procedure PRE-05 Step 5.4; _DEPENDENCIES.md Critical Integration Points.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-013-03-E09,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-013,DEL-013-04,,Heavy Equipment Exhaust System,_Decomposition/WDMLRL_Decomposition_Claude.md,MUA supply volume must balance total exhaust volumes from DEL-013-04; exhaust volume data required before MUA can be sized,Specification.md,REQ-013-03-02,"MUA system supply volume shall be sized to balance the total exhaust volumes generated by DEL-013-04 and DEL-013-05",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Exhaust volume is a required input for MUA sizing. Explicit in Specification REQ-013-03-02; Guidance P1; Datasheet Capacity (BLOCKING TBD); _DEPENDENCIES.md Constraint Notes.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E10,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-013,DEL-013-05,,Welding Station Exhaust System,_Decomposition/WDMLRL_Decomposition_Claude.md,MUA supply volume must balance total exhaust volumes from DEL-013-05; exhaust volume data required before MUA can be sized,Specification.md,REQ-013-03-02,"MUA system supply volume shall be sized to balance the total exhaust volumes generated by DEL-013-04 and DEL-013-05",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Exhaust volume is a required input for MUA sizing. Explicit in Specification REQ-013-03-02; Guidance P1; Datasheet Capacity (BLOCKING TBD); _DEPENDENCIES.md Constraint Notes.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-013-03-E11,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-018,DEL-018-06,,Utility Tie-Ins (Natural Gas),_Decomposition/WDMLRL_Decomposition_Claude.md,Natural gas tie-in (SOW-0080) must be available to MUA unit location before gas-fired MUA can be commissioned,Procedure.md,Prerequisites > PRE-10,"Natural gas rough-in available to MUA unit location (if gas-fired unit) -- SOW-0080",EXPLICIT,TBD,TBD,PENDING,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,ASSUMPTION. Gas-fired MUA assumed but not confirmed -- common in Alberta industrial applications. Explicit prerequisite PRE-10 in Procedure.md; Guidance C3.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-013-03-E12,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-015,DEL-015-04,,Equipment Power Circuits,_Decomposition/WDMLRL_Decomposition_Claude.md,Electrical power connection to MUA unit and controls required from DEL-015 (Electrical Installation); circuit voltage amperage and phase must match MUA nameplate,Procedure.md,Steps > Step 4.2,"Coordinate with Electrical Contractor (DEL-015) to connect power circuit(s) to MUA unit and controls",EXPLICIT,TBD,TBD,PENDING,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit in Procedure Step 4.2. DEL-015-04 is the Equipment Power Circuits deliverable per decomposition (covers SOW-0059-0063 SOW-0066).,ADVISORY,TASK_ESTIMATING
v3.1,DEP-013-03-E13,PKG-013,DEL-013-03,Forced-Air Makeup System,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DELIVERABLE,PKG-016,DEL-016-01,,Two 5-Tonne Overhead Cranes,_Decomposition/WDMLRL_Decomposition_Claude.md,Supply ductwork routing must avoid crane travel zones; structural attachments for ductwork hangers must be coordinated with crane rail locations,Procedure.md,Prerequisites > PRE-09,"Structural attachments for MUA unit and ductwork hangers reviewed and approved (including coordination with crane rail zones per DEL-016-01)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Explicit prerequisite PRE-09 in Procedure.md; Guidance C4 elaborates crane zone avoidance. Specification REQ-013-03-08.,ADVISORY,TASK_ESTIMATING
