LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-001,ITM-001,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Makeup Air Unit (MUA) - supply and install,1,EA,45000.00,45000.00,CAD,PARAMETRIC,Mechanical_System_Rates.csv MS-02 (RecommendedRate=45000; range 28000-65000),LOW,Sizing TBD; parametric allowance from rate table; gas-fired ASSUMPTION
L-002,ITM-002,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Fresh air intake ductwork - exterior penetration to MUA,1,LS,3500.00,3500.00,CAD,PARAMETRIC,Mechanical_System_Rates.csv MS-06 basis + ASSUMPTION for intake section,LOW,Weather hood/screen/wall penetration/flexible connection/insulation; scope limited to intake run
L-003,ITM-003,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Supply ductwork - main trunk and branch runs (per floor area),1208,m2,60.00,72480.00,CAD,PARAMETRIC,Mechanical_System_Rates.csv MS-06 (RecommendedRate=60/m2; range 40-85),MEDIUM,13000 sqft = 1208 m2; normalized per floor area; includes fittings and basic hangers
L-004,ITM-004,Mechanical > Controls & Commissioning,PKG-013,DEL-013-03,Dampers and control valves - intake/supply/zone,1,LS,4500.00,4500.00,CAD,PARAMETRIC,ASSUMPTION based on system complexity; no direct rate table entry,LOW,Motorized intake damper + supply modulating dampers + branch volume dampers
L-005,ITM-005,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Fire and smoke dampers at fire-rated penetrations,4,EA,650.00,2600.00,CAD,PARAMETRIC,ASSUMPTION: industry parametric for commercial fire dampers installed,LOW,Qty 4 ASSUMPTION; actual qty TBD per fire separation drawings
L-006,ITM-006,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Intake filtration - initial filter set and rack,1,LS,800.00,800.00,CAD,PARAMETRIC,ASSUMPTION: standard MUA filter installation,LOW,Filter type/MERV TBD per manufacturer
L-007,ITM-007,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Ductwork insulation - supply ductwork per energy code,1,LS,10870.00,10870.00,CAD,PARAMETRIC,ASSUMPTION: ~15% of supply ductwork cost (72480 x 0.15),MEDIUM,Type/thickness TBD; 15% parametric ratio standard for insulated supply systems
L-008,ITM-008,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Electrical disconnect switch and LOTO provisions,1,EA,1200.00,1200.00,CAD,PARAMETRIC,ASSUMPTION: industry parametric for 3-phase disconnect + LOTO hardware,LOW,Per Alberta Electrical Code; circuit sizing TBD
L-009,ITM-009,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Condensate drain pan and drain line,1,LS,750.00,750.00,CAD,PARAMETRIC,ASSUMPTION: standard MUA condensate management,LOW,Applicability TBD per manufacturer; included as prudent cold-climate provision
L-010,ITM-010,Mechanical > Controls & Commissioning,PKG-013,DEL-013-03,Controls integration - BAS wiring and programming,1,LS,5500.00,5500.00,CAD,PARAMETRIC,ASSUMPTION: MUA-to-BAS integration typical for commercial HVAC,LOW,Integration with DEL-013-01 heating + DEL-013-02 air exchanger
L-011,ITM-011,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Ductwork hangers/supports and structural attachments,1,LS,5400.00,5400.00,CAD,PARAMETRIC,ASSUMPTION: ~7.5% of supply ductwork cost (72480 x 0.075),MEDIUM,Includes crane zone coordination; 35ft ceiling height
L-012,ITM-012,Mechanical > Administration & Permits,PKG-013,DEL-013-03,Mechanical permit - AHJ application and fees,1,LS,1500.00,1500.00,CAD,PARAMETRIC,ASSUMPTION: Alberta mechanical permit typical for commercial HVAC installation,LOW,Camrose County AHJ fees
L-013,ITM-013,Mechanical > Administration & Permits,PKG-013,DEL-013-03,Equipment submittals - preparation and review coordination,1,LS,1500.00,1500.00,CAD,PARAMETRIC,ASSUMPTION: ~16 hrs submittal prep at blended rate,LOW,Product data sheets and shop drawings; engineer review coordination
L-014,ITM-014,Mechanical > Controls & Commissioning,PKG-013,DEL-013-03,Test and balance (TAB) - qualified contractor,1,LS,4500.00,4500.00,CAD,PARAMETRIC,ASSUMPTION: commercial TAB for MUA system with multiple distribution points,LOW,Airflow measurement at all supply terminals; TAB report
L-015,ITM-015,Mechanical > Controls & Commissioning,PKG-013,DEL-013-03,Duct leakage testing per SMACNA,1,LS,2000.00,2000.00,CAD,PARAMETRIC,ASSUMPTION: duct leakage test for supply system,LOW,Leakage class TBD per DEL-003-07
L-016,ITM-016,Mechanical > Controls & Commissioning,PKG-013,DEL-013-03,Commissioning - MUA start-up and controls functional test,1,LS,3500.00,3500.00,CAD,PARAMETRIC,ASSUMPTION: MUA start-up + controls sequence testing + documentation,LOW,Includes manufacturer start-up checklist and controls sequence verification
L-017,ITM-017,Mechanical > Controls & Commissioning,PKG-013,DEL-013-03,Integrated system performance test,1,LS,3000.00,3000.00,CAD,PARAMETRIC,ASSUMPTION: coordinated test with DEL-013-01/-02/-04/-05,LOW,Simultaneous operation verification; pressurization + airflow + temperature
